AssessmentRecordID,ReviewID,UserID,RiskID,SystemID,ConflictDetectedDate
ASMT_0000001,REV_2022,U01604,RISK_088,SYS02,15 October 2022
ASMT_0000002,REV_2023,U01604,RISK_088,SYS02,20 October 2023
ASMT_0000003,REV_2024,U01604,RISK_088,SYS02,18 October 2024
ASMT_0000004,REV_2022,U00669,RISK_033,SYS02,15 October 2022
ASMT_0000005,REV_2023,U00669,RISK_033,SYS02,20 October 2023
ASMT_0000006,REV_2022,U01016,RISK_011,SYS02,15 October 2022
ASMT_0000007,REV_2023,U01016,RISK_011,SYS02,20 October 2023
ASMT_0000008,REV_2024,U01016,RISK_011,SYS02,18 October 2024
ASMT_0000009,REV_2022,U00892,RISK_076,SYS01,15 October 2022
ASMT_0000010,REV_2024,U00892,RISK_076,SYS01,18 October 2024
ASMT_0000011,REV_2025,U00892,RISK_076,SYS01,22 October 2025
ASMT_0000012,REV_2022,U01628,RISK_100,SYS03,15 October 2022
ASMT_0000013,REV_2023,U01628,RISK_100,SYS03,20 October 2023
ASMT_0000014,REV_2025,U01628,RISK_100,SYS03,22 October 2025
ASMT_0000015,REV_2025,U00120,RISK_040,SYS02,22 October 2025
ASMT_0000016,REV_2026,U00120,RISK_040,SYS02,17 October 2026
ASMT_0000017,REV_2024,U01542,RISK_074,SYS01,18 October 2024
ASMT_0000018,REV_2023,U01682,RISK_022,SYS02,20 October 2023
ASMT_0000019,REV_2024,U01542,RISK_114,SYS02,18 October 2024
ASMT_0000020,REV_2022,U00751,RISK_070,SYS02,15 October 2022
ASMT_0000021,REV_2023,U00751,RISK_070,SYS02,20 October 2023
ASMT_0000022,REV_2024,U01067,RISK_056,SYS01,18 October 2024
ASMT_0000023,REV_2022,U00758,RISK_043,SYS04,15 October 2022
ASMT_0000024,REV_2023,U01263,RISK_096,SYS04,20 October 2023
ASMT_0000025,REV_2025,U01263,RISK_096,SYS04,22 October 2025
ASMT_0000026,REV_2022,U01692,RISK_016,SYS02,15 October 2022
ASMT_0000027,REV_2024,U01692,RISK_016,SYS02,18 October 2024
ASMT_0000028,REV_2026,U01692,RISK_016,SYS02,17 October 2026
ASMT_0000029,REV_2025,U01750,RISK_065,SYS01,22 October 2025
ASMT_0000030,REV_2023,U00234,RISK_022,SYS03,20 October 2023
ASMT_0000031,REV_2023,U00890,RISK_081,SYS02,20 October 2023
ASMT_0000032,REV_2026,U00890,RISK_081,SYS02,17 October 2026
ASMT_0000033,REV_2022,U00863,RISK_036,SYS02,15 October 2022
ASMT_0000034,REV_2024,U00863,RISK_036,SYS02,18 October 2024
ASMT_0000035,REV_2026,U01363,RISK_002,SYS01,17 October 2026
ASMT_0000036,REV_2022,U01227,RISK_061,SYS01,15 October 2022
ASMT_0000037,REV_2023,U01227,RISK_061,SYS01,20 October 2023
ASMT_0000038,REV_2024,U01227,RISK_061,SYS01,18 October 2024
ASMT_0000039,REV_2025,U01227,RISK_061,SYS01,22 October 2025
ASMT_0000040,REV_2026,U01227,RISK_061,SYS01,17 October 2026
ASMT_0000041,REV_2022,U01093,RISK_116,SYS02,15 October 2022
ASMT_0000042,REV_2023,U01093,RISK_116,SYS02,20 October 2023
ASMT_0000043,REV_2024,U01093,RISK_116,SYS02,18 October 2024
ASMT_0000044,REV_2022,U01207,RISK_006,SYS01,15 October 2022
ASMT_0000045,REV_2025,U01207,RISK_006,SYS01,22 October 2025
ASMT_0000046,REV_2023,U00617,RISK_084,SYS01,20 October 2023
ASMT_0000047,REV_2024,U00617,RISK_084,SYS01,18 October 2024
ASMT_0000048,REV_2023,U01190,RISK_025,SYS02,20 October 2023
ASMT_0000049,REV_2022,U01038,RISK_024,SYS02,15 October 2022
ASMT_0000050,REV_2023,U01038,RISK_024,SYS02,20 October 2023
ASMT_0000051,REV_2024,U01038,RISK_024,SYS02,18 October 2024
ASMT_0000052,REV_2022,U00789,RISK_060,SYS01,15 October 2022
ASMT_0000053,REV_2023,U00789,RISK_060,SYS01,20 October 2023
ASMT_0000054,REV_2025,U00789,RISK_060,SYS01,22 October 2025
ASMT_0000055,REV_2026,U00789,RISK_060,SYS01,17 October 2026
ASMT_0000056,REV_2024,U01092,RISK_087,SYS02,18 October 2024
ASMT_0000057,REV_2024,U01639,RISK_068,SYS01,18 October 2024
ASMT_0000058,REV_2025,U01482,RISK_075,SYS01,22 October 2025
ASMT_0000059,REV_2022,U00336,RISK_057,SYS01,15 October 2022
ASMT_0000060,REV_2024,U00336,RISK_057,SYS01,18 October 2024
ASMT_0000061,REV_2026,U00336,RISK_057,SYS01,17 October 2026
ASMT_0000062,REV_2022,U00949,RISK_120,SYS01,15 October 2022
ASMT_0000063,REV_2023,U00949,RISK_120,SYS01,20 October 2023
ASMT_0000064,REV_2024,U00949,RISK_120,SYS01,18 October 2024
ASMT_0000065,REV_2023,U00425,RISK_106,SYS04,20 October 2023
ASMT_0000066,REV_2022,U01706,RISK_050,SYS01,15 October 2022
ASMT_0000067,REV_2025,U01706,RISK_050,SYS01,22 October 2025
ASMT_0000068,REV_2024,U00979,RISK_047,SYS04,18 October 2024
ASMT_0000069,REV_2024,U00546,RISK_074,SYS02,18 October 2024
ASMT_0000070,REV_2022,U01251,RISK_012,SYS03,15 October 2022
ASMT_0000071,REV_2025,U01251,RISK_012,SYS03,22 October 2025
ASMT_0000072,REV_2023,U01653,RISK_005,SYS01,20 October 2023
ASMT_0000073,REV_2025,U01653,RISK_005,SYS01,22 October 2025
ASMT_0000074,REV_2024,U01653,RISK_026,SYS02,18 October 2024
ASMT_0000075,REV_2022,U01240,RISK_105,SYS03,15 October 2022
ASMT_0000076,REV_2024,U01240,RISK_105,SYS03,18 October 2024
ASMT_0000077,REV_2023,U00524,RISK_028,SYS01,20 October 2023
ASMT_0000078,REV_2024,U00524,RISK_028,SYS01,18 October 2024
ASMT_0000079,REV_2026,U00524,RISK_028,SYS01,17 October 2026
ASMT_0000080,REV_2026,U01009,RISK_094,SYS02,17 October 2026
ASMT_0000081,REV_2026,U00737,RISK_028,SYS01,17 October 2026
ASMT_0000082,REV_2024,U01377,RISK_067,SYS04,18 October 2024
ASMT_0000083,REV_2022,U01273,RISK_076,SYS01,15 October 2022
ASMT_0000084,REV_2023,U01273,RISK_076,SYS01,20 October 2023
