AssessmentRecordID,ReviewID,UserID,RiskID,RoleKey
ASMT_0000001,REV_2022,U01604,RISK_088,637
ASMT_0000001,REV_2022,U01604,RISK_088,593
ASMT_0000001,REV_2022,U01604,RISK_088,157
ASMT_0000002,REV_2023,U01604,RISK_088,385
ASMT_0000002,REV_2023,U01604,RISK_088,405
ASMT_0000003,REV_2024,U01604,RISK_088,644
ASMT_0000003,REV_2024,U01604,RISK_088,601
ASMT_0000004,REV_2022,U00669,RISK_033,84
ASMT_0000004,REV_2022,U00669,RISK_033,628
ASMT_0000005,REV_2023,U00669,RISK_033,275
ASMT_0000006,REV_2022,U01016,RISK_011,83
ASMT_0000006,REV_2022,U01016,RISK_011,432
ASMT_0000007,REV_2023,U01016,RISK_011,582
ASMT_0000007,REV_2023,U01016,RISK_011,172
ASMT_0000008,REV_2024,U01016,RISK_011,222
ASMT_0000009,REV_2022,U00892,RISK_076,575
ASMT_0000009,REV_2022,U00892,RISK_076,110
ASMT_0000009,REV_2022,U00892,RISK_076,234
ASMT_0000010,REV_2024,U00892,RISK_076,223
ASMT_0000010,REV_2024,U00892,RISK_076,478
ASMT_0000011,REV_2025,U00892,RISK_076,426
ASMT_0000011,REV_2025,U00892,RISK_076,260
ASMT_0000012,REV_2022,U01628,RISK_100,304
ASMT_0000013,REV_2023,U01628,RISK_100,537
ASMT_0000013,REV_2023,U01628,RISK_100,76
ASMT_0000014,REV_2025,U01628,RISK_100,229
ASMT_0000015,REV_2025,U00120,RISK_040,177
ASMT_0000016,REV_2026,U00120,RISK_040,99
ASMT_0000017,REV_2024,U01542,RISK_074,650
ASMT_0000017,REV_2024,U01542,RISK_074,253
ASMT_0000018,REV_2023,U01682,RISK_022,420
ASMT_0000019,REV_2024,U01542,RISK_114,184
ASMT_0000019,REV_2024,U01542,RISK_114,15
ASMT_0000020,REV_2022,U00751,RISK_070,215
ASMT_0000020,REV_2022,U00751,RISK_070,434
ASMT_0000021,REV_2023,U00751,RISK_070,560
ASMT_0000021,REV_2023,U00751,RISK_070,229
ASMT_0000022,REV_2024,U01067,RISK_056,567
ASMT_0000022,REV_2024,U01067,RISK_056,266
ASMT_0000023,REV_2022,U00758,RISK_043,411
ASMT_0000023,REV_2022,U00758,RISK_043,253
ASMT_0000024,REV_2023,U01263,RISK_096,591
ASMT_0000024,REV_2023,U01263,RISK_096,7
ASMT_0000025,REV_2025,U01263,RISK_096,224
ASMT_0000026,REV_2022,U01692,RISK_016,289
ASMT_0000026,REV_2022,U01692,RISK_016,94
ASMT_0000027,REV_2024,U01692,RISK_016,135
ASMT_0000027,REV_2024,U01692,RISK_016,144
ASMT_0000028,REV_2026,U01692,RISK_016,59
ASMT_0000028,REV_2026,U01692,RISK_016,640
ASMT_0000029,REV_2025,U01750,RISK_065,16
ASMT_0000029,REV_2025,U01750,RISK_065,364
ASMT_0000030,REV_2023,U00234,RISK_022,327
ASMT_0000030,REV_2023,U00234,RISK_022,616
ASMT_0000030,REV_2023,U00234,RISK_022,640
ASMT_0000031,REV_2023,U00890,RISK_081,187
ASMT_0000031,REV_2023,U00890,RISK_081,596
ASMT_0000032,REV_2026,U00890,RISK_081,99
ASMT_0000032,REV_2026,U00890,RISK_081,350
ASMT_0000033,REV_2022,U00863,RISK_036,269
ASMT_0000033,REV_2022,U00863,RISK_036,619
ASMT_0000034,REV_2024,U00863,RISK_036,620
ASMT_0000034,REV_2024,U00863,RISK_036,360
ASMT_0000035,REV_2026,U01363,RISK_002,361
ASMT_0000035,REV_2026,U01363,RISK_002,514
ASMT_0000036,REV_2022,U01227,RISK_061,64
ASMT_0000036,REV_2022,U01227,RISK_061,67
ASMT_0000037,REV_2023,U01227,RISK_061,171
ASMT_0000037,REV_2023,U01227,RISK_061,631
ASMT_0000038,REV_2024,U01227,RISK_061,202
ASMT_0000038,REV_2024,U01227,RISK_061,613
ASMT_0000039,REV_2025,U01227,RISK_061,32
ASMT_0000039,REV_2025,U01227,RISK_061,235
ASMT_0000040,REV_2026,U01227,RISK_061,347
ASMT_0000040,REV_2026,U01227,RISK_061,577
ASMT_0000041,REV_2022,U01093,RISK_116,347
ASMT_0000041,REV_2022,U01093,RISK_116,226
ASMT_0000042,REV_2023,U01093,RISK_116,189
ASMT_0000043,REV_2024,U01093,RISK_116,14
ASMT_0000044,REV_2022,U01207,RISK_006,525
ASMT_0000044,REV_2022,U01207,RISK_006,271
ASMT_0000045,REV_2025,U01207,RISK_006,297
ASMT_0000045,REV_2025,U01207,RISK_006,417
ASMT_0000046,REV_2023,U00617,RISK_084,72
ASMT_0000046,REV_2023,U00617,RISK_084,478
ASMT_0000047,REV_2024,U00617,RISK_084,541
ASMT_0000048,REV_2023,U01190,RISK_025,507
ASMT_0000048,REV_2023,U01190,RISK_025,404
ASMT_0000049,REV_2022,U01038,RISK_024,390
ASMT_0000049,REV_2022,U01038,RISK_024,565
ASMT_0000050,REV_2023,U01038,RISK_024,24
ASMT_0000051,REV_2024,U01038,RISK_024,407
ASMT_0000052,REV_2022,U00789,RISK_060,615
ASMT_0000052,REV_2022,U00789,RISK_060,448
ASMT_0000052,REV_2022,U00789,RISK_060,449
ASMT_0000053,REV_2023,U00789,RISK_060,571
ASMT_0000053,REV_2023,U00789,RISK_060,376
ASMT_0000054,REV_2025,U00789,RISK_060,427
ASMT_0000054,REV_2025,U00789,RISK_060,473
ASMT_0000055,REV_2026,U00789,RISK_060,221
ASMT_0000055,REV_2026,U00789,RISK_060,551
ASMT_0000055,REV_2026,U00789,RISK_060,53
ASMT_0000056,REV_2024,U01092,RISK_087,329
ASMT_0000056,REV_2024,U01092,RISK_087,647
ASMT_0000057,REV_2024,U01639,RISK_068,387
ASMT_0000057,REV_2024,U01639,RISK_068,418
ASMT_0000058,REV_2025,U01482,RISK_075,50
ASMT_0000059,REV_2022,U00336,RISK_057,342
ASMT_0000059,REV_2022,U00336,RISK_057,514
ASMT_0000060,REV_2024,U00336,RISK_057,483
ASMT_0000060,REV_2024,U00336,RISK_057,97
ASMT_0000060,REV_2024,U00336,RISK_057,201
ASMT_0000061,REV_2026,U00336,RISK_057,70
ASMT_0000061,REV_2026,U00336,RISK_057,234
ASMT_0000062,REV_2022,U00949,RISK_120,219
ASMT_0000062,REV_2022,U00949,RISK_120,522
ASMT_0000063,REV_2023,U00949,RISK_120,342
ASMT_0000063,REV_2023,U00949,RISK_120,298
ASMT_0000064,REV_2024,U00949,RISK_120,222
ASMT_0000064,REV_2024,U00949,RISK_120,28
ASMT_0000065,REV_2023,U00425,RISK_106,327
ASMT_0000065,REV_2023,U00425,RISK_106,326
ASMT_0000066,REV_2022,U01706,RISK_050,366
ASMT_0000067,REV_2025,U01706,RISK_050,52
ASMT_0000068,REV_2024,U00979,RISK_047,404
ASMT_0000068,REV_2024,U00979,RISK_047,122
ASMT_0000069,REV_2024,U00546,RISK_074,345
ASMT_0000069,REV_2024,U00546,RISK_074,109
ASMT_0000070,REV_2022,U01251,RISK_012,80
ASMT_0000071,REV_2025,U01251,RISK_012,157
ASMT_0000071,REV_2025,U01251,RISK_012,238
ASMT_0000072,REV_2023,U01653,RISK_005,494
ASMT_0000072,REV_2023,U01653,RISK_005,273
ASMT_0000073,REV_2025,U01653,RISK_005,337
ASMT_0000074,REV_2024,U01653,RISK_026,64
ASMT_0000074,REV_2024,U01653,RISK_026,394
ASMT_0000074,REV_2024,U01653,RISK_026,223
ASMT_0000075,REV_2022,U01240,RISK_105,469
ASMT_0000076,REV_2024,U01240,RISK_105,615
ASMT_0000076,REV_2024,U01240,RISK_105,340
ASMT_0000076,REV_2024,U01240,RISK_105,445
ASMT_0000077,REV_2023,U00524,RISK_028,569
ASMT_0000078,REV_2024,U00524,RISK_028,120
