RoleKey,RoleID,RoleName,RoleType,SAPModule,RiskIndicator
1,ROLE_0001,FI_TREASURY_0001,Composite,FI,Red
2,ROLE_0002,HCM_HR_OPERATIONS_0002,Business,HCM,Green
3,ROLE_0003,CRM_CUSTOMER_SERVICE_0003,Business,CRM,Green
4,ROLE_0004,MM_INVENTORY_0004,Technical,MM,Red
5,ROLE_0005,FI_TREASURY_0005,Business,FI,Green
6,ROLE_0006,MM_VENDOR_MANAGEMENT_0006,Composite,MM,Green
7,ROLE_0007,SD_CUSTOMER_MANAGEMENT_0007,Business,SD,Red
8,ROLE_0008,MM_VENDOR_MANAGEMENT_0008,Business,MM,Green
9,ROLE_0009,HCM_PERSONNEL_ADMINISTRATION_0009,Business,HCM,Red
10,ROLE_0010,CRM_CUSTOMER_SERVICE_0010,Composite,CRM,Green
11,ROLE_0011,SD_SALES_0011,Business,SD,Red
12,ROLE_0012,MM_INVENTORY_0012,Business,MM,Green
13,ROLE_0013,MM_VENDOR_MANAGEMENT_0013,Business,MM,Green
14,ROLE_0014,MM_INVENTORY_0014,Business,MM,Red
15,ROLE_0015,FI_GL_0015,Business,FI,Green
16,ROLE_0016,Security_ROLE_ADMINISTRATION_0016,Business,Security,Red
17,ROLE_0017,Security_ROLE_ADMINISTRATION_0017,Business,Security,Green
18,ROLE_0018,MM_PURCHASING_0018,Business,MM,Green
19,ROLE_0019,MM_VENDOR_MANAGEMENT_0019,Business,MM,Green
20,ROLE_0020,Basis_SYSTEM_ADMINISTRATION_0020,Business,Basis,Green
21,ROLE_0021,Basis_TECHNICAL_OPERATIONS_0021,Business,Basis,Green
22,ROLE_0022,FI_TREASURY_0022,Composite,FI,Green
23,ROLE_0023,SD_CUSTOMER_MANAGEMENT_0023,Business,SD,Green
24,ROLE_0024,BW_DATA_ADMINISTRATION_0024,Business,BW,Green
25,ROLE_0025,MM_PURCHASING_0025,Business,MM,Green
26,ROLE_0026,HCM_PERSONNEL_ADMINISTRATION_0026,Composite,HCM,Green
27,ROLE_0027,CRM_CUSTOMER_SERVICE_0027,Composite,CRM,Red
28,ROLE_0028,SD_SALES_0028,Business,SD,Green
29,ROLE_0029,SD_CUSTOMER_MANAGEMENT_0029,Business,SD,Red
30,ROLE_0030,MM_PURCHASING_0030,Business,MM,Green
